Arabic,Franko
انتي,anti
كل,kl
احبك,a7bk
اطيب,atyab
احلى,a7lh
بدنيا,biddineh
خوات,5wat
في,fy
حياتي,7yaty
اوف,uf
شفتهم,shfthm
جمالكم,jmalkm
جنات,gnight
يارب,yarab
ادعولنا,ad3oulna
عند,3end
زن,zan
حسن,7osn
انشالله,anchalla
مزينه,mzaynh
حياتنا,7ayetna
ورده,wardh
مطرح,m6ra7
امتحان,emt7an
تكون,tkwn
انا,ana
قلبي,8lbi
ترى,tra
هوا,hwa
و,oo
الخسران,al5sran
مرتاح,mrtaa7
بتضحك,bt9'7k
مثل,mthl
الاهبل,alahbl
الزهق,alzhg
صعب,sa3ab
هاين,hayn
الجووع,aljoo3
نحنا,ni7na
بتقدر,bt8dr
علينا,3leena
نفسي,nfsy
متاخرة,mt25arh
كان,kan
استنى,astna
مكانك,mkank
وائف,w2ef
كرسي,krsy
ازنخك,azn5k
معي,m3y
خليكي,5lyky
اليوم,alywm
اروح,arw7
بدي,bdy
مشحر,mch7r
شي,chi
نفس,nafs
صح,saa7
هههههههه,hhhhhhhhhh
بحب,bhb
بتجنن,betjenn
اغنيه,oghnia
شفتها,shaftha
ألتلي,2ltly
خفيف,khafef
دمها,dmha
كتير,kteer
يوئف,you2f
زوريك,zoureek
انشاءالله,insha'allah
اشرب,ashrb
عادي,3ady
ميه,mih
يا,y
عسل,3sal
معلش,m3lsh
نغم,nagham
لازم,lazm
اراعي,ara3y
شعور,sh3or
الي,eli
لسا,lsa
وانا,wana
ال,el
ناس,nas
بتمتحن,btmt7n
عبالي,3bale
خرافي,khorafe
تلفوني,telephone
قالبه,8alba
متى,mata
عطلة,3otlet
بعرف,b3raf
اضحى,ad7a
عيد,3ed
بتبلش,btblesh
حد,7ad
هيك,heik
مكتوب,maktoob
عطلة,3otleh
يسلموو,yeslamoo
هلا,hala
بسنه,bsaneh
خامسه,khamsh
انام,anam
بدي,bde
اكيد,akeed
ممكن,momken
شكرا,shkran
موافئه,mwaf2h
واو,waw
حياتي,7yati
من,mn
طلعوا,6l3o
الي,elly
والله,walla
مليت,mlait
اليوم,elyoom
اهلي,ahly
اشكال,ashkal
بطني,b6ny
بموت,bmot
احس,a7s
صبرك,9brk
فيه,feh
مي,may
لتر,liter
الي,aly
يفكر,yfkr
فيني,feny
لتفكر,ltfkr
يعني,y3ne
كتير,ktir
بحبك,b7bk
يخليلي,y5alili
كاين,kayen
يسعدك,ys3dk
ياكي,yake
وين,wein
جمالكن,jamelkon
اتصور,atsawar
نيالك,niyalak
محلاك,ma7alak
خليني,5aline
مبرووك,mabrook
بتعقد,bt3a8ed
عليك,3leek
اسمالله,asmallh
روعه,raw3a
سلامته,slameth
حمدلله,hamdella
شاورما,shawarma
بدو,bado
ولك,wlak
حرام,hram
معك,ma3k
هيك,hk
لوين,lweyn
خدني,5idni
طاير,tayer
عليك,3alek
صحه,sa7a
مشاغب,moshagheb
بالصف,bl9af
صف,sof
ياالله,yalla
كيف,kif
بستعملها,bst3mela
انسان,ensen
عرفتي,3rfte
هيك,hek
احسنت,ahsant
أد,ad
علي,3lyi
شي,shi
بالدنيا,bldnya
غاليي,ghalyi
بحبك,b7bik
انتي,enty
عيونك,3eywnek
جميل,jamel
امين,amen
واحد,wa7ed
برشلوني,bar$lony
حكيتيلي,haketele
انك,enek
معه,ma3u
نفسي,nefsi
امثل,amthel
فاشل,fashel
اطلع,etla3
برا,bara
انت,enta
بتعيد,bet3yd
حلقات,7al8at
أديمه,adymh
سويتها,sawytha
الصراحه,elsara7h
مش,mesh
بايخه,baykha
حلوين,7elwen
ارجع,erja3
احسنلك,a7sanlak
مبارح,mbare7
فاقع,fag3
معجنات,mo3jnat
بالزبط,blzabt
اشي,ashy
بس,bas
بضرب,bodrob
شلوت,shalot
اقسم,oqsem
بالله,belah
احتمال,e7temal
تيجيني,tejeni
جلطه,jalta
مسكيين,msakeen
عشت,3esht
سهره,sahra
يزم,yzm
شعب,sh3b
بتجنن,btjnn
خياال,5ayal
برافو,bravo
عشق,3ashg
بئره,b2rah
كيري,kreeri
نصحانه,ns7aneh
رائي,ra2ye
يعني,y3ni
معنا,ma3na
بشنيع,bshane3
عليه,3alih
متت,motet
الي,elle
اموره,amurh
البحار,elb7ar
سمكاته,smakatu
منييح,mnee7
أديش,adesh
متفائله,motafa2elh
مش,mush
طبيعي,tabee3i
أدرت,2deret
بالله,bellah
عليكي,3aleki
تحطي,t7oti
اصحك,es7ek
متلك,mtlk
طيب,tayeb
سكته,skteh
دووم,doom
حظي,76'i
مرعوب,mr3ob
رائعة,ra2e3a
الدكتور,2ldoctor
نيالك,niyalk
معنديش,m3ndesh
اعملها,a3mlha
ائلب,a2lb
واو,wao
محمد,mohammed
اسماعيل,ismael
واو,woow
اردني,ordone
بلد,bald
جميل,jamil
يحميكم,yehmikom
الله,lah
عثماني,3thmane
انس,anas
ادير,adir
تصور,tsawar
بري,bari
يكتل,yaktal
عنده,3ndo
تكوين,takwin
مرحبا,mrahba
غلط,ghalet
احلام,a7lam
اردن,ordon
مليكي,maliky
بقرا,bgra
فيسبوك,facebook
انشالله,inchlh
سلامة,salamett
محمود,mahmoud
لطيف,latif
اسامه,osama
يحفضه,yahef9'o
امين,amin
الأمر,2lamr
انك,anak
تيجي,tiji
نحنا,nahna
المغرب,alm3'reb
محتاجينك,mahtajinak
فاطمه,fatima
كمان,kaman
بخاف,bkhaf
دكاتره,dacatirh
بيخاف,biykhaf
منه,mno
هادا,hada
بخير,bkhir
انت,anta
شلونك,chlonk
حمد,hmd
ماشاءالله,machallah
ماشاء,macha2a
ميرسي,merci
جييد,jayid
يعطيك,yi3tik
العافيه,2l3afeh
دكتور,dactor
امين,amiin
يبدو,yabdo
باش,ba$
وقفه,w8ifh
بيشبه,beshbah
شو,shu
كريم,kareem
الي,ele
تحت,ta7t
عل,3l
يمين,yamen
فكرته,fakarto
هو,howi
فيه,feeh
ايش,ich
هو,howa
معجون,ma3jon
اسنان,asnan
تنصحني,tan9a7ni
عليكم,3likoum
بسوي,bswe
نور,noor
هون,hoon
شو,sho
واو,wow
مدريد,madrid
زيزو,zizo
اول,awal
مباراه,mobara
مع,m3
خطيبتي,khatibti
شوفي,shofi
بئلك,b2lk
عليه,3leh
صحه,saha
فطوركم,fturkm
قول,gol
قلك,galk
ضميره,damiro
مرتاح,martah
ضميرنا,damirna
بلا,bla
نحضر,nhdr
تتفرج,ttfrg
علمناهم,3lmnahom
حتى,7ta
هههههههههههه,hahahahaha
سييرتو,serto
فطورك,ftourak
ومبروك,omabrok
عيدك,aidak
الأعياد,ala3yad
ألبك,2lpk
نبكي,nebki
ولا,wela
بداية,bdayt
اه,ah
قلبي,9albi
وانت,wenta
يعطيك,ye3tik
منكم,menkom
ام,um
وجه,wajeh
شبه,shabah
بينكم,benkum
مناسبه,munesabh
بل,bel
نعرف,n3raf
تمن,taman
ممكن,momkin
رجل,rajl
زوج,zwj
مساك,masak
ورد,ward
نور,nor
يبعد,yib3id
عنك,3anak
عين,3in
حاسدين,hasidin
منور,mnowar
قمر,8mr
مبارك,moubarak
علينا,3alayena
اخي,akhe
الف,alf
الحب,alhub
طلع,tla3
البوسه,elboseh
قدك,8adk
كيفنكم,kefnkom
نتوضف,netwedef
نستنى,netsena
أمر,2018-03-02 00:00:00
تجنني,tjnni
حبيبتي,habibti
يحميكم,yehmekom
يخليكم,y5lekom
يهنيكي,yhaniki
حياتي,7yatiii
يهنيكم,yhnekom
تسلمي,tslmee
حلوين,7elween
يسعدها,yas3adha
تتهني,tthane
يهنيكوا,yhneeko
يبارك,ebark
حبي,hobe
فيكي,feke
مبروك,mabrok
عقبال,3gbal
اميره,amera
الف,2alf
بحبكم,ba7ebkom
انتو,ento
تينتين,tenten
يحرمكم,ye7remkom
بعض,ba3ad
مليون,maleeon
يهنيكوا,yhniko
ايامكم,ayamkom
فرح,far7
كل,kol
اشوفك,ashufik
رح,r7
تكوني,tkuni
عاروس,3arus
يتمم,ytamem
حبي,hobi
عخير,35er
لليش,llesh
عرسان,3rsan
كلها,kolha
ويلي,weeli
احلاكم,27lakom
يتمملك,ytmmmlk
خير,khaer
عاروس,3aroos
يسعدكوا,ys3edko
سحورك,s7ork
طبيعي,6abe3e
زلمه,zalmeh
كنا,kona
بنئول,bn2ol
صح,sa7
استاز,ostaz
دكتورنا,doctorna
اربد,iribd
زوق,zog
قلبك,galbk
عقلبك,3galbak
حبيبي,habibi
ولا,wla
بحياتي,b7yate
لعبت,l3ebt
حبيبي,7abebe
ابو,abo
سوريه,souriya
لبنانيه,lobnaniya
واحدها,wahadha
واني,wini
قدها,gdha
اخوي,a5oi
يلا,yla
شد,shd
حيلك,7elk
تعال,t3al
اتفقنا,tfgna
الغالي,el3'ali
ناقصتك,nag9etk
تمنيتك,tmnetk
معي,m3e
حب,7ob
اكيد,aked
هيني,hine
بالمطار,blm6ar
بتعمل,bte3mal
عندك,3ndk
يبارك,ybark
اعلى,a3la
منها,mnha
انشاءالله,inshallah
لابئ,labee2
كبير,kber
ايوه,aywa
هيك,haik
شجعلنا,$aj3lna
عشان,3$an
يفوزوا,yfozo
فيك,fek
قلبي,8albe
ابراهيم,brahim
اسمعها,esma3ha
كثير,kther
خرافيه,5orafeh
الوحش,elwa7sh
عقبال,3o8bal
تصير,tseer
مسامير,masameer
قتار,guitar
مش,msh
ناي,nay
لئيت,l2eet
سنه,saneh
سالم,salm
سالمه,salmeh
عمر,3omr
كله,koloh
بخير,b5air
باشا,basha
عمر,3omor
انشاءالله,enshala
عقبال,308bal
نضال,nidal
جيبلي,jeebli
معك,m3k
بخير,bkheer
عراسي,3rase
شباب,shabab
مشتاقينلكوا,mshta8enlko
منور,mnwer
رضيت,radet
سويتلها,sawetlha
داير,dayer
عراس,3ras
ول,wel
حفلات,7aflaat
وك,wk
وينك,waenk
مستر,mstr
الغورثم,algorithm
خليها,5leha
اخلص,a5l9
ببلش,bblsh
فيها,feha
بلشان,blshan
هيك,heeek
نوع,no3
عجال,3jal
طياره,6yara
قطار,g6ar
بدها,bdha
هيك,haek
ويلي,wele
لل,lal
حمدلله,7amdollah
مليح,mlee7
عسل,3asal
عبوود,3abood
عقبال,w38bal
سنه,sena
مبروك,mbr0k
نفسيه,nfseeh
حبايبي,7abaybe
حبيبي,7abibi
علينا,3alena
عليك,3aleek
حصتي,7uuste
بخير,bkher
فيكم,fekom
كأنو,k2no
بحكي,b7ki
لولا,lwla
انسى,ensa
مالك,malek
فوتشوب,photoshop
يوم,yoom
جميل,jameel
ماكل,makl
الصور,alsowar
شوش,shosh
اخوي,a5oe
تسلم,tslm
غالي,3'ale
الله,alahh
يسعد,ys3d
قلبك,glbak
شكرا,$krn
عمري,3mre
ابن,abn
خالي,5ale
مشتاقين,m$tagen
سيدي,sede
فاروق,farouk
خطبه,5e6beh
فكك,fokak
دراسه,draseh
اخطب,e56ob
أجمله,2jmlo
معزوم,m3zom
اها,ahaa
بخبر,b5ber
انه,eno
امه,omo
مسافره,msafrh
اهلا,ahla
وسهلا,wshla
سيدي,cd
صديقي,9ade8e
زماان,zamaan
انساهم,ensahom
اخر,a5r
يوم,youm
فصل,fa9el
ماانت,mnta
عارف,3aref
تكون,tkon
جدا,jedan
دقيقه,da8e8a
علامه,3lameh
بتخلص,bt5l9
نخلص,n5l9
كلنا,kolna
وشو,wsho
مشاريع,masharee3
ينزلوا,ynzlo
احساس,a7sas
شريك,shrek
حقتي,7a8aty
لولويش,lololoeesh
اخيرا,a5eran
عبود,abod
تسلم,tslam
ورده,wrdh
وردات,wrdat
تكنو,tecno
عراسي,3rasi
نغنيلك,n3'nelk
مناقشتك,mona8shtk
بتقصر,btg9eer
الك,elk
قلب,glb
راسي,rasi
مديير,moder
انا,2na
مرتبط,mrtbt
فكره,fkra
دكتوراه,daktorah
مشروع,mashro3
تخررج,ta5arroj
صديقي,9adegi
مبسووط,mabsoo6
ولك,wlk
صف,9af
عاشر,3asher
محافزه,m7afza
قاعد,ga3d
ابعتلك,ab3tlk
ياها,yaha
تخافش,t5afesh
بعملها,b3mllha
زلمه,zalamh
يسعدلي,ys3dli
اسمع,esma3
صور,9owar
هسا,hssa
بنزلهن,bnazelhen
تتخوث,tt5awath
محترم,m7trm
حكيتلك,7ketlk
اعني,i3ne
ليش,lesh
تهديد,thded
مسكين,msken
بمزح,bmza7
اهم,aham
شي,she
استر,ostor
بستر,bostor
علي,3lai
عيب,3eb
ممسك,mmsk
نشرتها,n$rtha
وينك,wenak
بينت,byant
اخوي,a5oy
تفضلوا,tfdalo
زلمتي,zlmte
كلكو,kolko
مرتب,mrtb
بتخوني,bt5oni
مهو,mho
غاب,3'ab
قط,g6
فار,far
جاي,jaai
خليجي,5aleje
طبيعي,6beee3i
وين,waen
عزيمه,3zemh
وراي,wray
اوائل,awa2l
مدعوين,mad3oween
اكلت,aklet
راحت,ra7t
ابشر,abshr
قوول,8ool
سمره,smra
اطعج,e63j
واقعه,wag3a
قصه,gsa
حكي,7ke
كلعام,kol3am
رب,rab
ينعاد,yn3ad
جمييع,jame3
حلوه,7lweh
خاصه,5a9a
كشه,kosheh
سلامه,salameh
انشاءالله,nshllah
سجل,sjel
ميشان,meshan
لعيونك,l3younak
العمر,el3mr
كله,kloo
سنه,snh
قوول,goal
شو,$o
صاحبنا,9a7bna
ااخ,a5
اخرها,a5erha
جاي,jae
تحب,t7b
فعلا,f3ln
فتره,ftra
صرت,sort
تنهف,tnhf
يومها,yoomha
لاحظنا,la79'na
صار,9ar
معجبيين,mo3jbeen
اولى,ola
رايك,r2ek
بتايدني,bt2edne
كلامي,klame
تحاول,t7awel
محشوك,m7shook
زاويه,zawweh
مالنا,malna
نورتوا,nawarto
يختيي,ya5tiii
بسلمه,bslmo
اختصر,e5ta9er
دوام,dawam
بكره,bokra
بيكحشوني,bek7ashone
اذا,etha
بغييب,b3'eeb
حط,7o6
بتتغير,btet3'ayar
نذاله,nathaleh
دامك,dammak
زعلان,za3lan
طب,6b
حياتي,7eate
ينعن,en3n
بدك,bdaak
شوو,shooo
الشباب,al$bab
بتقصرو,bt89ro
خلص,5l9
دورو,doro
يا الله,yalh
قال,gal
مين,meen
نيالنا,neyalna
ليش,leash
قريبا,8areban
قعده,8a3deh
يرزقك,yrzo8ak
وحش,wa7sh
قلبه,8albo
تدريب,tadreeb
طوول,6ool
اراقب,ara8eb
يعافيك,y3afek
مره,marra
بدله,badleh
بدلة,badlet
الدكتوراه,aldaktorah
غضب,3'9'b
مالك,malak
شوية,shwayet
زهق,zaha8
مستحيل,mosta7el
صرت,9oret
بشهدله,b$hdlo
بصحابها,b97abha
كلهم,kolhom
يباركوا,ybarko
خاتمتها,5atmetha
سنوات,sanawat
حالة,7alet
مصادر,m9ader
بجيبتي,bjebte
صغيره,93'ereh
انداري,andari
هانت,hanat
بدنا,bedna
نفرح,nefra7
ايمتن,emtan
دايما,dayman
فرحانين,far7aneen
فييني,feeni
بتفرحنا,betfarre7na
كنا,kelna
هبووش,habosh
حياتي,7ayati
بقدر,bqdr
اشي,eshe
صورها,sawarha
منوررين,mnawren
شباب,$abab
ابيش,abeesh
رصييد,ra9eed
رن,ren
رووح,roo7
هسا,hsa
بفضح,bf9'a7
دار,dar
نايمه,naymeh
اقلك,a8olak
بحلاها,b7laha
بيخ,be5
اخيرا,a5eraan
صديقي,sadeqe
عئبال,3o2bal
اميين,ammeen
حظي,7ad'e
نحس,n7es
انه,eno0
نفتح,nefta7
تشاركيني,tsharkene
صحاح,s7a7
جايني,jayeni
عروض,3ro0d
يهمك,yhemak
اولى,awla
موافئه,mwaf2a
منك,mnek
هئ,h2
عنا,3na
نار,nar
حطوني,7o6one
تنين,tnen
مبارك,mubarak
اجيبلك,ajeblak
طاقيه,6a8eh
تتصور,tt9awar
قلتلي,8oltly
قصدك,8a9dak
احضره,a79'aro
بجيبلك,bjeblak
فهمانين,fahmaneen
اخ,a5
قرابه,8araba
استفدنا,estafadna
شذب,chetheb
منزل,mnazel
عنه,3noh
حضرت,7dert
زمان,zaman
جدا,jdn
رائع,ra23
دفعه,dof3a
نسيتهم,nsethom
يغرك,y3'orak
عضله,39'leh
طاوله,6awleh
تقريبا,ta8reban
حركاتك,7rkaatk
أعطيني,236ene
بدرس,bdros
هبل,habll
خذلك,5o4lak
نام,nam
ميت,mayet
نعس,na3as
لغه,lo3'ah
مغص,ma3'e9
برضو,brdo
مشاتييب,mshateb
كيف,keaf
ماشي,mashi
اعيش,e3esh
بدون,bdon
شعب,sha3b
بسيطه,bse6a
قصدهم,8sdhom
وصلك,wslk
غلط,3'la6
غيرانين,3'yranen
صيدله,9aydaleh
الا,2la
فوزيه,fozeeh
لمين,lameen
للجمعه,lljm3a
لئيت,la2et
بئلك,b2olak
لقوله,l8ollo
امتحانك,2mt7anak
احد,27ad
تأجل,t2ajal
تخصص,ta5a9o9
اقلك,28olak
فزعنا,fz3na
العالم,al3alm
قالب,galb
برده,brdh
السولافه,alsolafeh
تشوف,tshof
الخراييط,al5raye6
انشتاين,anshtain
تقول,tgol
الشباك,alshbak
طل,6l
ثلوج,tholoj
متراكمه,motarakemeh
وصلات,w9alat
مراسلنا,mraslna
لا,la
حولا,hawla
قوه,9owa
عليه,3aliah
افضل,afdal
صلاة,salat
وسلام,wasalam
اللهي,lahe
صلاه,sala
عليه,3alayhi
جميله,jamileh
صوره,sora
مو,mo
لبس,lbs
حلو,helo
عمي,3mi
شخصيه,sha5sieh
حلوه,7alawa
عالمين,3alamin
شوفي,shofe
ناعمين,na3men
يفرحني,efr7ne
فيكن,fekn
يهنيكي,yhaneke
حبي,7obi
تكوني,tkoni
وو,wo
يحميكي,ye7meki
أريب,areeb
ألوبتي,alobti
إزا,2za
هلأ,hl2
او,aw
بعدين,b3deen
يتمم,ytmm
حبيبتي,hbebti
حياتي,7iaty
عاروستنا,3rostna
تعو,t3o
نحتفل,n7tfl
هبوشه,habosheh
عراييس,3raiss
دنيا,dnia
تطلعوا,ttl3u
بيتجننوا,btjnenu
اعملك,a3mlk
منشين,mnshen
عمري,3omri
ورا,wra
متخبيه,mt5byh
تتهاوشوا,tthawsho
هاي,hai
لما,lama
بيحبونا,by7bona
اختي,2o5te
كبيره,kabera
تنزلي,tnzli
دام,dam
ايام,ayam
بحبها,b7baha
اطفي,e6fe
ضو,daw
اشلحي,eshl7e
ساعه,sa3a
الحساب,l7ssab
واصل,wissal
سكري,skre
باب,bab
ليلة,lelit
نتائج,nata2eg
توجيهي,tawgehi
بتحبيني,bt7beni
فاصل,fasl
اجيتي,2egeti
تجيبلي,tgebeli
اتعصب,2eta3seb
دايئتك,dae2tk
لسا,lisa
ضميري,dameri
بئنبني,b2nbni
هديك,hadeek
وائفه,wa2feh
بتكون,btkon
ياسمين,yasmeen
توتو,toto
بحكو,b7ko
هدو,hadoo
احبك,ahebek
اختي,okhti
الكبيره,elkabera
الرياضيات,elradyat
بنساه,bnsah
اصير,aseer
اغنيلك,aghanelk
اغنيه,ughneh
تخيلي,t5ayale
عليها,3leeha
اغنية,o3'neyt
بنات,banat
شايفه,shayfe
اشي,ishi
بشبه,bshbah
هل,hal
بمر,bmor
شريط,sharet
زكريات,zkryat
كنت,kunt
بدور,badawer
عليه,3aleh
هديك,hadik
المره,lmarra
بزبط,bezabt
تفلتينا,tufulitna
الحمدلله,al7amdella
انه,enu
خلقنا,khalgna
خوات,khawat
وينه,weno
عينه,3eno
وينه,wino
هون,hon
فزنا,fozna
لقب,l8b
الك,alik
يومين,youmin
عامليتلي,3amlitli
مينشن,mention
حقيقي,7agege
عليك,3leak
احم,ahm
اجبد,ajbd
اهواك,ahawka
اكبر,akbar
كذبه,kithba
بدال,badal
يكتبه,yikitbo
نيالك,nyelek
عمي,3ami
كيفي,kayfi
انا,2ana
بحبوني,bi7bouni
نسكفيتنا,nascafetna
صباحيه,saba7yeh
كل,kul
عليكي,3liki
اهلك,ahlik
عافيه,3fyih
حبيبتي,7abibti
عليكي,3lyki
اهلك,ahlk
هادي,hadi
او,ou
خير,khir
فهمتي,fhmti
يكمل,ykmel
عيدك,3idek
عيدك,eidek
مبروك,mabrouk
روحي,rouhie
سنه,sana
طيبه,tyba
فرحانه,farhana
ياي,yay
حتى,hta
يجي,yji
العيد,l3id
مدمناتي,modminaty
كاتب,khatib
اختي,o5ti
صديقتي,sadi8ti
إداوم,idawem
عشرتنا,3ishritna
يعرفوها,ya3erfouha
ناسي,nasi
احبابي,a7babi
جيراني,jirani
يعرفني,ya3rafni
بدون,bidon
نحضر,nhdar
فعايلنا,f3aylna
عليك,3lik
يخليك,ykhalik
حبوبتي,haboubti
يخفى,ya5fa
قمر,8amar
يداوم,ydawem
عالم,3alm
يقولولي,ygoulouli
اختج,o5tych
عكس,3ks
صحبه,sohba
عيله,3ayle
بيت,bet
داار,dar
دارك,darek
صاحبتي,sa7bti
روحي,rouhi
خيتي,kheti
يحميها,ya7miha
ببتي,bbty
حنونتي,hanonti
تسلمي,tislami
عيوني,3yoni
سن,sen
موتني,mawatne
حمدلله,hamdellah
سيرة,sert
بدي,bade
يستر,yestor
هاها,haha
هنتي,hanti
دجاجه,dajaja
انتي,inty
اشوفكم,ashofkom
بالك,balk
مرتي,marti
وبس,wbas
وحدي,wahdi
شخص,sha5es
واحد,wahed
كوخ,kou5
وحدي,wahedi
امي,omi
بابا,baba
زوج,zawj
صالح,salah
صالح,sala7
استغفار,istighfar
يا,y'a
قلبي,gulbi
حسره,7asra
ضحكتيني,dahaktini
خلص,khlas
رمضان,ramdan
روحك,rohek
والله,wlh
بعد,ba3d
دمعه,dam3a
ألبي,albe
صمصومه,samsumo
بربك,brbak
احم,a7am
دوامه,dwamha
ضحكه,d7ka
تشفي,tshfay
حبته,hibato
فاهمه,fahma
لوجين,lojayn
نضحك,nathhak
بصوت,bassot
لازم,laziim
لأنه,l2no
عليها,3aleha
بيني,bene
بينك,benak
يميي,emi
لو,law
حدا,7da
شاف,shaf
بيبعتونا,beb3atona
اعدام,2e3dam
طول,tol
امسحهم,ams7hom
جد,jd
مافي,mafia
مهبوله,mahboula
نهبل,nhebel
حمدلله,hmdlh
مازلنا,mzalna
عايشين,3ayshin
احنا,ahna
يرجموا,yorjmou
فينا,fina
ماشي,mashy
وللي,weli
جاي,jey
صورة,sura
فيها,feeha
هاي,hay
جمله,jumleh
خطير,5ater
اشي,2shi
يلي,yali
بتبعتيه,btib3ateh
نعس,n3as
زهور,zhor
دليل,dalel
تفو,tfo
لعندك,l3andk
العفو,l3fou
شفت,shft
نوم,nawm
بحالكم,b7alkom
تستاهلي,testahli
انتو,entu
ما حسيت,mahsit
براسي,brasi
تحتي,tehti
نومتها,nometha
مسكينه,meskiina
شوف,chof
علينا,3lina
تزكرتك,tzakrtik
بارعه,bare3a
حبوبتي,haboubtii
حقك,ha8k
يشبهلك,yshabhlk
فهمتوا,fhamto
يحكوا,y7kiw
عليك,alik
عادي,3adi
حزرك,7zrek
وانتو,wento
يحبو,yhbou
كيفيه,kifeh
رأيك,r2yik
شفتيها,shftiha
والله,wala
انتي,enti
خالي,5ali
اسمر,asmar
اشأر,ash2ar
بلون,bilon
شمس,chams
جيتي,geti
في,f
بالي,bali
خايفه,5ayfeh
تعملي,t3male
تفرج,tafraj
افلام,aflam
رعب,ro3b
اخرة,akhrit
هاي,hia
خليتله,5letlou
راسه,rasou
وهو,whouwa
خليلها,khlelha
راسها,rasha
تعلمي,t3alame
مو,mu
فعايلك,f3aylek
اع,aa3
لازملك,lazemlk
أرف,araf
بارك,bark
انشالله,nchlh
اسكتي,ouskti
نتهنا,nethena
عندك,3endek
روحي,rohi
حبوبتي,habobti
اروع,arwa3
اخت,okhat
صديقه,sadi8a
العالم,l3alam
يمشي,yamshi
فيها,fiha
بعيد,b3id
ايوه,euyh
جو,jaw
ان,ena
تروحي,trohi
تخليني,tkhalīny
اليوم,lyoum
يفتحه,yafta7h
انشالله,nchalah
ولد,wlad
حلال,hlal
تزوجي,tzawji
نوره,nora
تازا,taza
ربي,rabe
اختي,2e5te
الغالي,l3'alle
قلبي,galbi
عسلتي,3salty
توأمي,taw2ami
يسهلك,ysahalik
حفضك,hfdk
يفرح,yfra7
ربي,rebi
قلبك,8albik
امولتي,amoulty
الغاليه,el3'aliya
بتكرهوني,btkrhony
ألبي,alby
صديقتي,sade8aty
حكيتلك,7aketlk
كيفك,kifiik
اليوم,lyom
خلص,5als
خال,5al
طلبتي,talbte
يعملوها,y3mlouha
نروح,nrou7
جهزي,jahze
حالك,7alek
نحط,n7ot
عشرتي,3shirti
الئفل,l2efel
دينتي,denyti
الكل,lkol
سهرتنا,sahriyetna
عملنا,3malna
يصبرك,ysabrek
تبعينك,tab3inek
بعدين,ba3deen
نبكي,nabky
الأول,alawel
نضحك,nd7k
نفسنا,nafsena
حياتي,hayati
يلعن,yl3n
حبيبة,7abibet
روحي,rou7i
اختك,o5tek
فيكي,fiki
زكرتني,zkrtni
وأت,w2t
نمتي,nmti
عندي,3ndi
انتي,inte
هو,hawa
مليكات,malikat
الجمال,ljamal
روح,roh
طلعلك,tla3lik
امواجه,lmwajah
كاينين,kaynin
ضعاف,d3af
بطوطات,batotat
لخلص,lakhla9
نحيفات,na7ifat
كانت,kanat
بطوطه,batouta
تبارك,tbark
دعوه,da3wa
