Arabic,Franko
مرغوبة,marghooba
حرام,hrama
غضب,ghadab
سلم,sellem
طلعنا,tle3na
بفرط,bfre6
ارجعلي,erga3li
ضايعة,day3a
مشهورة,mashhoora
تصبح,tesbah
ولا,wala
حاجات,7agat
نقدر,negdar
غناء,ghena2
يوفئك,yof2k
يعني,ya3ni
محتاجك,mehtagak
رؤياها,ro2yaha
بعد,ba3d
لم,lam
متضرر,motdarer
لحظات,la7zat
مستحمل,mesta7mel
بطيء,baty2
شايفها,shayfha
محتاجك,mehtagak
ولا,wala
كريمه,kareema
متأخرة,mot2akhra
متجوزة,motgawza
بديعة,badee3a
فشر,fa$ar
مقص,mg9
أيامنا,ayamna
المصطلح,elmo96l7
عليا,3alaya
محتارة,mehtara
صوتها,sawtaha
فرحه,far7a
محتارة,mehtara
ضيقة,dayye2a
عينك,3einak
معجب,mo3gib
مدوهج,mdwhj
نص,noss
اخوك,a5ok
بقالي,ba2ali
نسيم,naseem
عزيمة,3azema
عندي,3andi
أنساكي,ansaki
طويلة,tawila
عشقي,3ash2i
متين,mateen
تغير,t3'eer
لوثهين,lothtehn
بقاله,ba2alo
بعدين,ba3deen
غالية,ghaliyaa
تردش,trodesh
غيرانة,gheerana
فكرتك,fekretik
نص,noss
مميز,momayez
وائف,w2ef
متفائلة,motfa2ela
بتأثر,bt2ther
مزه,mozeh
عرضو,3rdo
عبرني,3abrne
دماغها,demagha
وحشتني,wa7ashteny
لحظة,la7za
متشائم,motsha2em
غرقان,ghar2an
متروكة,matrooka
افهم,2fhm
حالها,7alha
جميل,gamil
مخفية,makhfya
بتعملها,bt3mlha
صباح,saba7
جديدة,gdeeda
عروسة,3arousa
قلبك,2albak
جنب,ganb
بعشقه,ba3sha2o
مغامرات,moghamarat
منتظر,montazer
غيره,gheera
افتح,efta7
لو,low
حبيبتي,7abibti
صوتي,sawte
جدعة,gad3a
قلبك,2albik
دلوقتي,delwa2ti
محتاجهم,mehtagohom
لامع,lame3
تعبانة,ta3bana
لامع,lame3
افتح,efta7
قلبك,2albik
أقل,a2al
متأكد,mota2aked
اقنعه,a8n3oh
فضي,feddy
بديعة,badee3a
بحاول,ba7awel
قريب,2areeb
مناظر,manazer
رؤياها,ro2yaha
بحلم بيك,ba7lambeek
جديدة,gedida
متضررة,motdarera
انت,enta
بطيء,baty2
اعبي,a3abi
يعطيكي,y3teke
كلامها,kalamha
بتسوي,btswi
تصالحو,t9al7o
ساقعة,sa23a
مبسوطه,mabso6a
ايه,eih
مخفية,makhfya
عارفينه,3arfeno
مستغرب,mestaghrab
دماغها,demagha
داعش,da3sh
عشقك,3ash2ak
خضراء,khadra2
برا,barra
زابطه,zab6a
رايقان,ray2an
محرومة,mahrooma
حياتي,7ayaty
صادق,sade2
جنبك,gambik
يسعدهم,yes3dhom
بالخير,bl5air
قديمة,adeema
ساعدتني,sa3dtni
بقالي,ba2ali
بتستاهلو,btstahlo
مجذوبة,magzooba
يسهلك,ysahalik
طويل,tawil
احضرو,ahdru
رايق,raye2
مغامرة,moghamara
قرنية,8rnet
فكرتك,fekretik
محتارة,mehtara
مسالك,msalk
مستحمل,mesta7mel
صحية,sa7ya
محتاج,mehtag
عايشه,3aysheh
صوتك,sotak
تعطينا,t3tena
ماسي,masi
بحبك,ba7ebak
غناء,ghena2
بعشقه,ba3sha2o
بداية,bedaya
انزل,enzel
غالية,ghalya
وعدك,wa3dak
زاهق,zahe2
امان,aman
أمنية,omniya
نورك,nourik
ناموسه,namosa
وانتي,wenti
واو,waw
معجب,mo3gib
مشهورة,mashhoora
جدعة,gad3a
ويحيى,wyahya
دنيا,donia
ثابت,thabet
ملهمة,molhema
بتحكيها,bt7keha
مكتوبة,maktooba
حلا,7ala
ذكرى,zekra
تحفة,to7fa
نتعرف,net3arf
فوق,fou2
مشاعر,masha3er
نصيبك,n9ebk
سيبه,seboh
رايقة,ray2a
قلبك,2albik
متفائل,motfaael
محاولة,mo7awala
مستحيل,mosta7el
منتظرة,montazera
مواقف,mawakef
جيش,jesh
حاجة,7aga
خضراء,khadra2
السماء,elsma
جاهزين,jahzen
حبك,7obik
غيران,gheeran
حبي,7obbi
مشغول,mashghool
الجوع,eljo3
نورك,nourik
إخلاص,ekhlas
عظيم,3azeem
متفرق,motafare2
عزابيات,3zabeat
متفرقة,motafare2a
مصلحه,msla7a
قولت,golt
مكتوب,maktob
غلابة,ghalaba
قلت,8ilt
مبكرة,mobakkera
قلت,2olt
حلو,helw
متكسرة,motakassera
دايرة,dawera
دلوقتي,delwa2ti
مبكرة,mobakkera
مقوا,m8oua
قديمة,adeema
استنى,estanna
طويلة,tawila
جبنا,jbana
فكرتك,fekretak
رايك,ra2yek
أقرب,a2rab
تقدير,ta2deer
حلو,helw
غدر,ghadr
طبخه,tb5a
غناء,ghena2
متألق,mot2alek
نجم,negm
غامض,ghamed
مخلصة,mokhlesa
محتاجك,mehtagak
تهتز,thtz
أوي,awy
سامحة,same7a
تمانية,tamanya
غالية,ghalya
عزيمة,3azema
حارقني,7ar8ni
احكيلي,e7kily
طولي,6wle
البك,albik
بعتذر,ba3tezer
مفصوم,mafsum
صباح,saba7
حكايتنا,7ekayetna
إصرار,esrar
متحيرة,mot7ayera
مكسوف,meksouf
صباح,saba7
حسد,7asad
يمزعكم,ymza3km
أصالة,asaleh
قلبها,albaha
سريع,saree3
عود,3oud
اختيارات,ekhteyarat
شكلكو,shklko
اعرف,e3raf
تساعدني,tsa3dny
دماغ,demagh
البنت,lbnt
الأجباريات,elejbaryat
مقبوض,ma2bood
عشرة,3ashara
متأكدة,mota2akeda
محتار,mehtar
مزيكا,mazyka
شوق,shoogh
متروكة,matrooka
مجذوب,magzoub
حبي,7obbi
ذكريات,zekrayat
تائبة,ta2eba
معجب,mo3gib
منتظرة,montazera
متميزة,motamayza
بشوكه,bshokh
حبنا,7obena
البحر,elba7r
زهره,zahra
يعرفها,y3rfha
أصيلة,asela
صادق,sade2
بقالهم,ba2alhom
جريء,garee2
صوتي,soti
ضيقة,dayye2a
فنانة,fannana
متعب,mot3eb
سيبني,sebny
غيره,gheera
حبي,7oby
متألم,mota2allem
رياضيه,rya9'yah
شامي,$ami
بسبب,bsbb
اجاوب,2jaweb
تدريب,tadreeb
واضح,wad7
فوق,fou2
مشوار,mashwar
مفضل,mofa9'al
متفائل,motfaael
اسوي,asawe
مسقعك,ms83ak
غدارة,ghadara
سامعك,sam3ek
متضررة,motdarera
متأكدة,mota2akeda
ست,sitt
مزيكا,mazyka
متألق,mot2alleq
تتعاطي,tt3a6e
قصة,qessa
نوم,nawm
المحطه,elm76ah
متجوزة,motgawza
عارف,3aref
ألف,alf
لحظات,la7zat
غدر,ghadr
طافيه,6afyh
كريمه,kareema
انكر,anker
قسوة,qaswa
متأكدة,mota2akeda
حياتي,7ayaty
صوتها,sawtaha
حقيقي,7a8i8i
محترمين,mo7tarmen
مطمئن,motma2en
فراق,fora2
مناسبة,mnasbt
مليار,milyar
هي,heya
مسافرة,msafra
متضرر,motdarer
جيه,geeh
افتح,efta7
خرافيه,5orafyeh
رحنا,r7na
معاكي,ma3aki
زاهق,zahe2
الامساك,elemsak
مجروحة,magroo7a
كريمه,kareema
محتارة,mehtara
ستات,setat
بقالك,ba2alik
دايرة,dawera
مشرف,mosharef
متألقة,mot2alleqa
دمعتهم,dam3ethom
سلم,sellem
متألقة,mot2alleqa
ذكرى,zekra
جريء,garee2
متفرقة,motafare2a
عندي,3andi
فيك,feek
استني,estanni
ساقعة,sa23a
مشاعر,masha3er
توبة,tawba
نجوم,nogoom
متألق,mot2alek
تقدير,ta2deer
جوكم,jwkoum
إخلاص,ekhlas
مداوم,mdaom
صحيح,9aheh
زهره,zahra
متوقعة,motawake3a
متألق,mot2alleq
قلبك,2albak
رؤياك,ro2yak
دوالي,dwale
بعيداً,ba3eedan
زياده,zyadh
ستات,setat
بتستاهلي,btestahali
سلم,sellem
احكيلي,e7kily
متضرر,motdarer
بحكيلك,ba7kilik
معاق,mo3a8
ثلاثة,talata
متواضع,motwade3
نادت,nadata
مزنخ,maznakh
قاسية,qasya
متشائم,motsha2em
قلبك,2albak
شدة,shidda
مستعجل,mesta3gel
حبيبي,7abeby
محتاجها,mehtagaha
ايه,eih
قديمه,8dema
صحية,sa7ya
فارس,fares
أغنية,aghnya
عينك,3einak
عطله,3utleh
غايب,ghayeb
بتطول,btetwal
سنتين,snteen
حد,7ad
خيالي,khyali
باكيت,baket
بتضايق,bt9'ay8
متجوز,motgawez
غالب,ghaleb
محتاجة,mehtaga
ندمانة,nadmana
البكرها,lbkrha
تقدير,ta2deer
ناقصتك,nag9etk
دماغها,demagha
نص,noss
نزرك,nzrak
طريق,taree2
أدرت,2deret
ذكريات,zekrayat
خليني,5aline
بهيم,bhem
حد,7ad
مرسل,morsel
مكانته,maknto
غدارة,ghadara
اطيب,atyab
ذكرياتنا,zekrayatna
غدر,ghadr
حشرتي,7$rti
مشهورة,mashhoora
ضحك,d7k
ثبات,sobat
عالسكيت,3asket
بعملها,b3mllha
نتفرج,ntferg
المعدل,almo3adal
وصيتلو,w9etlo
خسرانة,khasrana
الوضع,elwa6'ee3
تصدقي,tsdgi
شوق,shaw2
اختيارات,ekhteyarat
هزيمة,hazima
فنان,fannan
مستقبل,mosta2bel
منشين,mnshen
متواضعة,motwade3a
دايرة,dawera
حاسسك,7asesik
ارجع,erga3
مقبوضة,ma2booda
صريحة,saree7a
مستحيلة,mosta7ela
سيبني,sebny
سبعك,sb3ek
عالمكتبه,3lmktbeh
نسيم,naseem
كريم,krem
صاحبيتي,sa7bete
عشان,3a$an
حبنا,7obena
بتقربلك,bt8rblk
صحية,sa7ya
متواضع,motwade3
سلام,salam
جريئة,garee2a
تائب,ta2eb
لحن,la7n
زيت,zyt
مازلت,mazelt
طالعه,6al3ah
تكرمي,tekrami
محتار,mehtar
ناسيه,nasieh
خصومات,5o9omat
ضحكة,da7ka
الكهف,elkahf
مؤثر,mo2asser
مستعجل,mesta3gel
بحلم بيك,ba7lambeek
قديمة,adeema
ساقية,sa2ya
ندمانة,nadmana
قلبي,2albi
انسرء,ensara2
متعب,mot3eb
يشوفه,yshofo
راحة,raha
تزبطي,tzbte
قريب,2areeb
شخصيتك,shakhsytak
شقفت,shagfet
بخوف,b5wef
عينك,3einek
هي,heya
محتاجهم,mehtagohom
تخدوني,t5dune
هزيم,hazeem
سلامات,salamat
صاحب,sa7eb
جديدة,gdeeda
غبيات,3'byat
شوق,shoogh
غرقان,ghar2an
بديعة,badee3a
أيامهم,ayamhom
كلمة,kalema
سامحة,same7a
مرغوب,marghoob
متكسرة,motakassera
ربنا,rabena
عشرة,3ashara
مشاعر,masha3er
هزيم,hazeem
تدخل,td5ol
متألق,mot2alek
للحياه,ll7yah
عشقنا,3esh2ena
قدام,8dam
ذهبي,dahabi
قدام,oddam
فرحه,far7a
الدار,aldar
شدة,shidda
مشهورة,mashhoora
دمعتهم,dam3ethom
أصولة,asoola
موج,moog
لهفة,lahfa
مفروض,mafroud
محتاجك,mehtagak
غامق,ghame2
راحة,raha
أصيل,aseel
نجم,negm
لحظات,la7zat
جديدة,gedida
بهجة,bahga
حمار,7omar
استلم,astalem
ريتها,retha
عطشانة,atshana
عشق,3esh2
مطرية,motrya
يرحمك,er7mk
انشاءالله,nchallah
زكري,zakry
عشقي,3ash2i
فصول,fosool
الزاكيه,2lzakyeh
الزواج,alzwaj
مشغول,mashghool
طويلة,tawila
قصيره,ga9ereh
صاحب,sa7eb
هالبيت,halbet
تتطبخي,t6bo5i
انتي,enti
طريق,taree2
محتاج,mehtag
سويهم,sawehom
بلشت,bl$t
بحاول,ba7awel
محبوب,ma7boob
متألق,mot2alleq
متكسرة,motakassera
قدام,oddam
طلقة,tal2a
ورق,wrg
بعيداً,ba3eedan
صاحب,sa7eb
أنهفك,2nhfk
استني,estanni
ثابت,thabet
وياك,weyaak
أمال,omal
قلبي,2albi
أوقات,aw2at
يمين,yemeen
دايماً,daiman
بقالهم,ba2alhom
هو,howa
غيره,gheera
قلبها,albaha
مرغوبة,marghooba
ملهم,molhem
اساس,asas
بقاله,ba2alo
باحثة,ba7esa
إحنا,e7na
تقريباً,ta2reeban
مرسل,morsel
مطلوبة,matlooba
مزيكا,mazyka
أهداف,ahdaf
بديعة,badee3a
سحاب,sahab
تعبانة,ta3bana
جامدة,gamda
مؤثرة,mo2assera
فني,fany
اخلاص,a5las
بلشوا,blsho
متألم,mota2allem
كلمة,kalema
حديث,7deth
فصول,fosool
جنب,ganb
نجمة,negma
ضحكة,da7ka
بسهوله,bsholh
بحكيلك,ba7kilik
ساقية,sa2ya
لسانك,lsank
جوعانه,jo3aneh
مستعجل,mesta3gel
ستة,seta
عسوله,3soleh
ومبروك,omabrok
دمعة,dem3a
أربعة,arba3a
غيره,gheera
توبة,tawba
قلت,2olt
صفحات,saf7at
خضراء,khadra2
مناوب,mnawb
مازلت,mazelt
عروسة,3arousa
كوكب,kawkab
طرق,toro2
جايلك,jaylek
عيب,3eeb
مميز,momayez
انت,enta
صف,sof
اغنيه,o3'neh
اشتريتها,e$tretha
طولك,6olek
لزقي,lz8i
شقف,shgf
نشوفلك,nshoflak
ذكريات,zekrayat
يقرا,y8ra
النهاردة,naharda
اساليه,es2leh
شفتي,shofti
بقالها,ba2alha
قلبي,2albi
غيره,3'ero
متشائم,motsha2em
أخبار,akhbar
قرب,8rab
مكسوف,meksouf
غناء,ghena2
مميز,momayez
شخصيتها,sh5setha
بشبهو,b$bho
تعلمني,t3alimni
مبروك,mabrook
ذكرياتنا,zekrayatna
الوصفه,alwasfa
متين,mateen
جريء,garee2
نسيم,naseem
سلام,salam
ثانية,saniya
أصولة,asoola
كنافه,knafeh
طلقة,tal2a
فني,fany
أقرب,a2rab
ارجعه,2rj3oo
اجيتك,ajetk
ماضي,maady
سلم,sellem
اعيط,23y6
أقل,a2al
ضل,6'l
شوق,shoogh
عزيمة,3azema
حموده,7modeh
حدش,7desh
ماسيبش,masibsh
حاجات,7agat
بقولك,ba2olek
كوكب,kawkab
ضحكة,da7ka
جديدة,gdeeda
طويل,tawil
أصولة,asoola
معاكي,ma3aki
كلم,klm
الكل,elkol
اشي,2$e
نجومية,nojoomeya
لحن,la7n
وعدك,wa3dak
لحظة,la7za
مشوار,mashwar
زقتو,z8to
متوقع,motawa2e3
مستحيلة,mosta7ela
تسلم,teslam
يا قلب,ya2alb
هوياتك,hoyatk
صفحه,saf7a
بطيئه,b6e2a
واضحة,wad7a
دلوقتي,delwa2ti
إحنا,e7na
ثمك,thomk
انتي,enti
حكاية,7ekaya
فكرتها,fekratha
صليت,9let
تولين,toolen
تفعل,taf3al
صدق,sed2
يخلف,y5lef
ازته,azetoh
لامع,lame3
مشغولة,mashghoola
اعيد,a3ed
متلهم,mtlhom
حبيبتي,7abibti
متواصلة,metwasela
جامدة,gamda
غامض,ghamed
مبكرة,mobakkera
تمانية,tamanya
بعيد,ba3eed
متعب,mot3eb
بابا,baba
قلبي,2albi
حط,ho6
بعيد,ba3eed
ست,set
مشوار,mashwar
مماسك,mmasek
لحن,la7n
جسر,jsar
متروكة,matrooka
قدام,oddam
متأخرة,mot2akhra
بحكيلك,ba7kilik
نفسيه,nafseye
ناس,nas
منتهية,montaheya
حاولت,7awlet
أقرب,a2rab
أغلى,aghla
انتي,enti
متواضع,motwade3
سيبني,sebny
مثالية,mesalya
فضي,feddy
بنخرب,bn5rb
فهمتيه,fhmteh
بكيتي,bkete
قوي,qawy
متواصل,metwasel
جريئة,garee2a
كريمه,kareema
كبيها,kobeha
عشقي,3ash2i
أنساكي,ansaki
بدخل,bd5l
موجوده,mwjoda
الجنين,eljanen
طريق,taree2
أقوى,a2wa
متعب,mot3eb
ثبات,sobat
قدام,oddam
متوقع,motawa2e3
نهاية,neheya
جدعان,gad3an
ابعد,ab3ad
أقرب,a2rab
بحاول,bahawel
مخفية,makhfya
يقبرهم,e8brhom
متواضعة,motwade3a
عطشانة,atshana
جديدة,gdeeda
بعتذر,ba3tezer
طرق,toro2
اعمل,i3ml
سريعة,saree3a
مشواري,meshwari
أمنية,omniya
صغيرة,soghayara
حياتي,hayati
تركونا,trakona
الحدود,lhodod
صريحة,saree7a
بكرة,bokra
خمسة,khamsa
احكيلي,e7kily
شعرية,sha3reya
البك,albik
متميزة,motamayza
كيماوي,kemawe
مسافرة,msafra
بحبك,ba7ebak
صوتك,sotak
مزيكا,mazyka
متميزة,motamayza
معدلات,m3dalat
قلبك,2albik
للغزال,ll3'azal
صوتها,sotha
متألقة,mot2alla2a
مشرف,mosharef
صناديق,9nade8
حكاية,7ekaya
مناظر,manazer
متضرر,motdarer
الغالي,el3'ali
فكري,fekry
بقطع,b8at3
مصرة,mosera
متشائمة,motsha2ema
عمار,amar
غدر,ghadr
مزيكا,mazyka
دايرة,dawera
ربنا,rabena
انتي,enti
محتاجك,mehtagik
سريع,saree3
محتاجة,mehtaga
متحيرة,mot7ayera
شعبه,sho3bah
كلمة,kalema
لهفة,lahfa
غامض,ghamed
بحر,ba7r
بقربلكم,b8rbolkom
توبة,tawba
حد,7ad
رواية,riwaya
مبسوطين,mabsooteen
ملهم,molhem
بعيد,b3eed
شوارع,$war3
مشرفة,mosharefa
مكسوف,meksouf
مفروض,mafroud
قلبي,2albi
حتاتك,7atatek
لامعان,lama3an
حنين,7anen
أخبار,akhbar
هو,howa
ثبات,sobat
صوتهم,sawtohom
انزل,enzel
اب,ab
عمها,3mha
طويل,tawil
باحثة,ba7esa
طلق,tal2
فوق,fou2
عربيات,3rbayt
كريمه,kareema
ناي,nay
ششبرك,$a$brak
مشرفة,mosharefa
إخلاص,ekhlas
نزلتو,nzltu
مستحيلة,mosta7ela
قرارات,qararat
تماماً,tamaman
حبنا,7obena
مشاعر,masha3er
بعيداً,ba3eedan
عفت,aft
نجمة,negma
سيبني,sebny
غناء,ghena2
هلأ,hl2
الأبيض,elabya9'
حبيبي,7abeby
صدق,sed2
فكري,fekry
هزيم,hazeem
تحتهم,t7thm
مشغول,mashghool
صوتي,sawte
يوفقك,ywafgk
بريء,bare2
قديمة,adeema
متألق,mot2alek
مرسى,mersa
تسعه,tes3a
متألق,mot2alleq
العب,al3b
عليكو,3leko
مرغوبة,marghooba
رسائل,rasa2el
أصيل,aseel
متوفر,motwaffer
اب,ab
فكرتك,fekretak
تقديرها,ta2deerha
لامعان,lama3an
صحية,sa7ya
حلو,helw
بحط,b7u6
جيه,geeh
غرقانة,ghar2ana
رايق,raye2
مخفية,makhfya
مشهد,mashhad
يعرفوا,e3rfo
مرغوبة,marghooba
مقبولة,ma2boola
هامني,hamni
بحبك,ba7ebak
مكتوب,maktob
صوتها,sotha
ستة,seta
قمر,2amar
متوقعة,motawake3a
يعمي,y3mi
لؤلؤ,lo2lo2
بعشقك,ba3sha2ik
باللهي,ballahe
غامضة,ghamda
إحنا,e7na
متوقعة,motawake3a
سميدة,smedt
جدعان,gad3an
محتار,mehtar
طبيب,6beb
قلبها,albaha
بداية,bedaya
بمنطقه,bman6e8ah
مجروح,magroo7
خمسة,khamsa
لأهلي,l2hle
طلبتي,6lbti
اصبعي,29b3i
عزيمة,3azema
استني,estanni
الجو,eljao
مجروح,magroo7
دنيا,donia
كفاية,kefaya
عشقنا,3esh2ena
عشقك,3ash2ak
مكتوب,maktob
مستعجل,mesta3gel
حبك,7obik
طرق,toro2
يمرق,ymrog
جنبك,gambak
مميزات,momayazat
طاعتكم,6a3tkom
الغبي,el3'bi
الدوام,ildwam
كلنا,kollena
أغلى,aghla
تخيلي,t5ayli
كرر,krr
خيبتي,5ebti
جديدة,gedida
زاهق,zahe2
فيكم,fikom
باحثة,ba7esa
متشائمة,motsha2ema
ملهمة,molhema
استني,estanni
محاولات,mo7awalat
موج,moog
خزلتيني,5zaltene
أربعة,arba3a
بقالك,ba2alik
عيونك,3yonek
واقعية,wa2e3ya
دلوقتي,delwa2ti
ضحكتك,da7ketak
الشباب,al$bab
بعتذر,b3tder
القطهن,2lg6hn
بطيء,baty2
حد,7ad
زبطه,zabeta
صغير,soghayar
فني,fany
كلمة,kalema
ببتي,bbty
يشفيك,yeshfek
بقاله,ba2alo
ايما,ayma
فكرتها,fekratha
اسمع,esma3
صاحب,sa7eb
مبكرة,mobakkera
بنصحك,bn97k
حقه,ha8o
وزهقني,wzh8ny
فرحه,far7a
بحبك,ba7ebak
هو,howa
مالك,malk
المي,elmai
تنشرلك,ton$rlek
ربنا,rabena
فرحه,far7a
غدارة,ghadara
متأكد,mota2aked
متألق,mot2alek
محتاجك,mehtagak
لعبتهم,lo3bthm
منتظر,montazer
مستحملة,mesta7mela
اباي,2bai
طروش,6ro$
اسألتكم,as2eltkom
ستاتي,stati
الصادق,alsad8
سندويشه,sndwe$eh
مرسل,morsel
زاهق,zahe2
كلي,kolly
ضيقة,dayye2a
متكسرة,motakassera
بيحكيلك,by7kilk
تائب,ta2eb
محتاجك,mehtagak
وياك,weyaak
قطع,8ta3
استني,estanni
قوي,qawy
تفشلو,tfshlo
أخبار,akhbar
مزيكا,mazyka
حبي,7oby
