Arabize,Arabic
mnj6l,منجطل
b6agas,بطقس
5onty,خنتي
yhadi,يهدي
salene,سليني
ah,اه
5dha,خذها
2dod,أدود
bagolek,بقولك
safar,سفر
feran,فيران
ms5arah,مسخره
k3b,كعب
5reef,خريف
wshla,وسهلا
3ib,عيب
2jmlo,أجمله
hayn,هاين
7aflitak,حفلتك
mayt,مايط
el3omdeh,العمده
b$taho,بشتهو
yslene,يسليني
bmerna,بميرنا
azagef,ازقف
bttshmt,بتتشمت
elhbla,الهبلا
mush,مش
6ra6e$,طراطيش
a7ruf,احرف
lajaneb,الاجانب
ghyebak,غيابك
el7amdulilah,الحمدلله
e9'rab,اضراب
tsm7eli,تسمحيلي
mo3amalat,معاملات
a9de8a,اصدقاء
sbe3,سبع
23az,اعز
ayamk,ايامك
n7es,نحس
bkhaf,بخاف
b$3a,بشعه
ekssoar,اكسسوار
safrt,سافرت
37alo,عحالو
tb3to,تبعته
btfi8,بتفيق
3'zl,غزل
$m6t,شمطت
ou,او
elzalameh,الزلمه
7awlo,حاولو
rhlto,رحلتو
nshuf,نشوف
7o6,حط
2f5am,افخم
t7mltha,تحملتها
sorit,صورة
tjawzti,تجاوزتي
bthy2lkm,بتهيألكم
kreeri,كيري
2l7elow,الحلو
makromh,مكرمه
b9'lk,بضلك
akel,اكل
mta7reh,متاخره
bt2ahry,بتأهري
qalby,قلبي
3shan,عشان
elsobe7,الصبح
3'l6an,غلطان
r6a,رطه
galboshe,قلبوشي
btmnh,بتمنى
ahawka,اهواك
2lm7abeh,المحبه
b3e6,بعيط
bhlyomen,بهاليومين
nafsena,نفسنا
bow9alni,بوصلني
m7la,محلا
wajbeh,وجبه
25erti,اخرتي
hwa,هوا
btdrsy,بتدرسي
l3dm,العدم
t3ded,تعدد
3a2lh,عائله
7babna,حبابنا
kundrtha,كندرتها
lazemlk,لازملك
bfdlk,بفضلك
had,هاد
9'7ek,ضحك
btstahle,بتستاهلي
2ntbh,انتبه
fr7y,فرحي
bwejhe,بوجهي
t3banen,تعبانين
mhqq,محقق
b7flt,بحفلة
joz2i,جزئي
5lehom,خليهم
23yad,اعياد
ykoon,يكون
7ade8ah,حديقه
baswe,بسوي
mu5e,مخي
3aliah,عليه
bt5tafo,بتختفو
elna,النا
bnt3ab,بنتعب
tmnetk,تمنيتك
dmot,دموت
zbl,زبل
wbnota,وبنوته
kafo,كفو
7yaty,حياتي
h2h,هئه
ba3'arre2ha,بغرئها
jumleh,جمله
t6wel,تطول
lljm3eh,الجمعية
ajebha,اجيبها
askahm,اسكاهم
7rkat,حركات
el7om,الحوم
mnzleh,منزله
ykunsh,يكونش
tzbte,تزبطي
mestalbsne,مستلبسني
7o6eh,حطيه
y3al8u,يعلقو
el3arabi,العربي
broda,بروده
28olek,اقلك
bsahto,بصحته
ya3tih,يعطيه
3shgi,عشقي
2l3jab,العجب
nathaleh,نذاله
la78o,لحقو
bla5la8,بالأخلاق
yhdek,يهديك
jad,جد
el9wrah,الصوره
5aly,خالي
wa7deh,وحده
jr7,جرح
m3'lbeh,مغلبه
tws5,توسخ
elmot,الموت
lhmdlh,الحمدلله
ahleen,اهلين
tt5sas,تتخصص
shhor,شهور
r6obh,رطوبه
3ameh,عامه
bttzkare,بتتزكري
mysar,ميسر
tulia,طولي
2rb6ehn,اربطيهن
bdane,بدنيا
fa$ar,فشر
2nsref,انصرف
8a3a,قاعه
glbi,قلبي
hnaak,هناك
emt7ani,امتحاني
mfs8at,مفسقات
by7kilk,بيحكيلك
$ofele,شوفيلي
yfar7ak,يفرحك
moz,موز
wb3deha,وبعديها
tz3le,تزعلي
hbayel,هبايل
belklaseko,بالكلاسيكو
mtwq3a,متوقعه
tet3arafi,تتعرفي
bn5n8,بنخنق
marrat,مرات
lo3bthm,لعبتهم
7zntne,حزنتني
t3alo,تعالوا
6ob3,طبع
b6'her,بظهر
il3b,العب
banzen,بنزين
la2tne,لئتني
3lamk,علامك
7deth,حديث
tt3'de,تتغدي
jwak,جواك
katablak,كاتبلك
hkale,حكالي
b$rbha,بشربها
54eni,خذيني
elwahad,الواحد
safl,سافل
el7ub,الحب
n9yaftha,نصيفتها
eshr7lk,اشرحلك
arbe3a,اربعاء
l7arf,الحرف
fazlen,فازلين
aslak,اسلاك
7alen,حاليا
el8ame9,القميص
kzbarh,كزبره
ft7to,فتحتو
t25er,تأخر
tsddi,تسددي
balla,بالله
nben,نبين
alsolafeh,السولافه
ytfajm,يتفاجم
o3'neh,اغنيه
whw,وهو
eneb,عنب
eb3di,ابعدي
ydal,يضل
bse6h,بسيطه
m3noyh,معنويه
mbenat,مبينات
goleli,قوليلي
3lm3lumh,عالمعلومه
meiet,مييت
nescafe,نسكافيه
bdke$,بدكيش
mo3ad,معاد
6re8ah,طريقه
7asetko,حسيتكو
da5al,دخل
da5el,داخل
bri,بري
elsahra,السهره
5tear,ختيار
6b5at,طبخات
rdeto,رديتو
ma5sro,ماخسروا
slat,صلاة
zytoh,زيته
shatrah,شاطره
telfonh,تلفونه
tsam7eh,تسمحيه
r7,رح
5ode,خدي
7al8at,حلقات
athun,اظن
zyha,زيها
t3lelh,تعليله
3amkom,عامكم
namosa,ناموسه
$wai,شوي
6mnene,طمنيني
sawetlha,سويتلها
mo5alfat,مخالفات
3'yrteli,غيرتلي
mona8shtk,مناقشتك
ed3ole,ادعولي
bdroshm,بدرسهم
yfarj,يفرج
y8rb,يقرب
zmbrk,زمبرك
el2$ea2,الاشياء
elkber,الكبير
3rftha,عرفتها
tshena,طشينا
$soar,شسوار
nzle,نزلي
sa3b,صعب
tmawet,تموت
bbaki,ببكي
mhlakom,محلاكم
tesma3e,تسمعي
btrodo$,بتردوش
mu9'u3,موضوع
8rbt,قربت
kmbnyh,كمبنيه
m3dlat,معدلات
bidun,بدون
talej,تلج
$alat,شالات
elbnat,البنات
hasidin,حاسدين
el7mer,الحمير
ich,ايش
a7ky,احكي
mo7ba6,محبط
ba8i,باقي
mtawleh,مطوله
tnthi,تنتهي
e$tret,اشتريتت
3ayle,عيله
melh,ميله
7kyate,حكياتي
zayek,زيك
wmngol,ومنقول
awfr,اوفر
rasmi,رسمي
bwjhna,بوجهنا
8wa3d,قواعد
yl3bo,يلعبو
ysbrek,يصبرك
sam7tk,سامحتك
yt3rf,يتعرف
nazaltha,نزلتها
sar,صار
3kol$e,عكلشي
3rftni,عرفتني
3momn,عموما
b7ddo,بحددوا
botgaz,بوتغاز
tmilk,تميلك
nbedel,نبدل
ma2ele,ماالي
bsht3'l,بنشتغل
ytn$6,يتنشط
3glak,عقلك
smsom,صمصوم
28lam,اقلام
bdrb,بدرب
azh8,ازهق
msa7ib,مصاحب
bowsalni,بوصلني
6b3n,طبعا
yeh,ياه
sokh,سوكه
jddthm,جددتهم
b5tlf,بختلف
al3alam,العالم
7$e$,حشيش
e$rabi,اشربي
2lordonieh,الاردنيه
mskena,مسكينه
j6la,جطله
yara,يارا
mo3gbah,معجبه
leh,ليه
dor,دور
bt7ot,بتحط
fashl,فاشل
e5rs,اخرس
5mees,خمييس
3'orfet,غرفة
tlomoni,تلوموني
lab8,لابق
ybkaw,يبكوا
t9b7e,تصبحي
wdihom,وديهم
twdi,تودي
a36ekom,اعطيكم
mdraset,مدرسة
abu,ابو
btshoufeni,بتشوفيني
mr6b,مرطب
elmoa9lat,المواصلات
7adrte,حضرتي
y3ali,يعلي
ashfago,اشفقو
elmbla3',المبلغ
m3'ebeh,مغيبه
el7shesh,الحشيش
9af7etek,صفحتك
salkah,سالكه
drsni,درسني
ljebo,لجيبه
dkanh,دكانه
da7ktni,ضحكتني
ba9atna,باصاتنا
9afneh,صافنه
a36eni,اعطيني
bzorha,بزورها
3jabo,عجبه
2lmsmar,المسمار
be$ta3'el,بيشتغل
anchalla,انشالله
wlade,ولادي
azn5k,ازنخك
annas,اناناس
abli,أبلي
alk,الك
jmbe,جمبي
5e6hn,خيطهن
at6h6r,اتطهطر
shesmu,شسمو
hktlk,حكتلك
bkoi,بكوي
8olelhm,قوليلهم
ghabi,غبي
mshkle,مشكله
honak,هوناك
safie,صافي
9wrti,صورتي
el5ames,الخميس
el3almen,العالمين
bhda,بهدا
retha,ريتها
zhgtk,زهقتك
n86t,نقطة
3mlatle,عملتلي
osama,اسامه
9ortoh,صورته
eldaher,الظاهر
e$ta3'lto,اشتغلتو
2mora,اموره
glayeh,قلايه
asde8,اصدق
bshakel,بشكل
blsht,بلشت
mshta8enlko,مشتاقينلكوا
68m,طقم
jodeh,جوده
m5roseh,مخروسه
8a9'i,قضي
klm,كلم
5a6ben,خاطبين
mjholeh,مجهوله
3abelek,عبالك
bwrjek,بورجيك
trj3o,ترجعو
3'm9'i,غمضي
2smoh,اسمه
l2no,لأنه
la2inak,لانك
dana,دانا
msg3,مسقع
jo3anh,جوعانه
t7kish,تحكيش
as2lak,اسألك
l3'asil,الغسيل
adrous,ادرس
mab9ot,مبصوط
no8ta,نقطه
ba8balhash,بقبلهاش
alm3'reb,المغرب
wla3ah,ولاعه
fahmni,فاهمني
t3mlsh,تعملش
b5l2tk,بخلئتك
ekhwan,اخوان
wad3e,ودعي
d3eet,دعيت
$lonkm,شلونكم
istedraki,استدراكي
6wle,طولي
5bz,خبز
$a7o6a,شاحوطه
tdrab,تدرب
3shu,عشو
jenat,جينات
tn$e6oh,تنشيطه
mo3jab,معجب
mfy3o,مفيعه
jbana,جبنا
makhlo8h,مخلوقه
8jh,قجه
2l$wei,الا شوي
darbak,دربك
9ba7ha,صباحها
eljeel,الجيل
a6e8ek,اطيقك
atsawar,اتصور
36'ami,عظامي
ehdina,اهدنا
mlaz8ah,ملزقه
wrake,وراكي
b6l3$,بطلعش
jm3tii,جمعتي
mat3ark,متعارك
sho3'olhm,شغلهم
e3tbro,اعتبرو
shr6,شرط
am$e,امشي
akhira,اخيره
ra23ah,رائعه
ajdd,اجدد
lm7h,لمحه
bt5raj,بتخرج
2ga3d,اقعد
intbh,انتبه
nayeem,نايم
todrose,تدرسي
rakez,ركز
day3t,ضيعت
far7,فرح
ma5sos,مخصوص
feeha,فيها
no6bo5,نطبخ
eljaw,الجو
s7btna,صحبتنا
shababi,شبابي
el$are3,الشارع
bkondarah,بكندره
aidak,عيدك
mrwan,مروان
3od,عود
fiha,فيها
lab8eetlk,لابقيتلك
elazra8,الازرق
2zg,ازق
bsholh,بسهوله
wksrt,وكسرت
saltoo,سألته
mashiha,مشيها
elbatata,البطاطا
soof,صوف
wenhom,وينهم
3mltoha,عملتوها
abo,ابو
ysma3,يسمع
r2ayk,رايك
nafsek,نفسك
mn6z,منطز
sawrhum,صورهم
b5osk,بخصك
y$arek,يشارك
bnsfo,بنسفو
bowjodk,بوجودك
malhum,مالهم
elf7mat,الفحمات
9aymen,صايمين
lle7tea6,للاحتياط
7mdi,حمدي
shakhsytak,شخصيتك
kberh,كبيره
m7sna,محسنا
mo8ableh,مقابله
fdoleh,فضوليه
8asi,قاسي
yrej,يرج
day3ni,ضيعني
jbna,جبنا
alawnha,الأونه
tmaddt,تمددت
n3sane,نعسانه
mugref,مقرف
atwa9l,اتواصل
t3alimni,تعلمني
2noom,النوم
machallah,ماشاءالله
shofnak,شوفناك
ra8am,رقم
baglak,بقلك
7ar8t,حرقت
t83di,تقعدي
yer7amoh,يرحموه
ynt8m,ينتقم
rejle,رجلي
asa7,اصح
lama,لما
w3'letna,وغلطنا
aljawab,الجواب
sm3tk,سمعتك
7na,حنا
7eraseh,حراسه
hani,هاني
36'amek,عظامك
gule,قلي
tare8a,طريقه
t8olhom,تقولهم
we83,وقع
6ae8ni,طايقني
5lfni,خلفني
5brtni,خبرتني
dbreha,دبريها
2nto,انتوا
eldafe3,الدافع
nseto,نسيته
9aify,صيفي
elraja2,الرجاء
fatleh,فتله
shob,شوب
5litni,خليتني
bkoon,بكون
a5tk,اختك
bt3rafeh,بتعرفيه
be3ref,بيعرف
glbk,قلبك
jzr,جزر
snin,سنين
kelba,كلبه
tosheh,طوشه
searat,سيارات
ghairk,غيرك
aljoo3,الجووع
tle3tm,طلعتم
o5tkm,اختكم
$b7,شبح
ltntefak,لتنتيفك
ma9la7jeh,مصلحجيه
tawsaly,توصلي
houzne,حزني
lm7ele,لمحيلي
njibelkom,نجيبلكم
mabdek,مابدك
w6wetha,وطويتها
5u9'ar,خضار
tod5ol,تدخل
tan9a7ni,تنصحني
btt3bi,بتتعبي
yo54k,يوخذك
man$or,منشور
mdares,مدارس
llblozeh,للبلوزه
ra8eat,راقيات
elmzw8en,المزوقين
3$anha,عشانها
eljame3,الجميع
a9eel,اصيل
3aleha,عليها
ttmany,تتمني
t8adrni,تقدرني
faj2a,فجأه
mtlhom,متلهم
m3aref,معارف
wasat,وسط
taw2ami,توأمي
abod,عبود
whad,واحد
5jlatni,خجلتني
tlola7eh,تلولاحيه
nawrt,نورت
shft,شفت
ytslt,يتسلت
al5odor,الخضر
darku,داركو
t$ofo,تشوفو
mskona,مسكونه
tayer,طاير
aw,او
8ool,قوول
qalb,قلب
5ona,خنا
mr9'eh,مرضيه
elahbal,الأهبل
aysh,ايش
5atabet,خطبت
jou3,جووع
sha2a,شئه
asasn,اساسا
5otha,خوثا
hatha,هذا
3like,عليكي
3mlto,عملتو
kano,كأنه
r7tlhm,رحتلهم
tes,تيس
metzakr,متزكر
2klty,اكلتي
yet3araf,يتعرف
2t3rbsh,اتعربش
wm3dlu,ومعدلو
da5el,دخيل
adros,ادرس
2omo,امه
m68m,مطقم
fazo,فازوا
bt6l3,بتطلع
3eltko,عيلتكو
7tb,حطب
elhamdellah,الحمدلله
bt7lmi,بتحلمي
trta7,ترتاح
w8etha,وقتها
3ajabni,عجبني
khalgna,خلقنا
ehda,اهدا
t3'lbna,تغلبنا
tfa2ale,تفائلي
a54tha,اخذتها
a3sabha,اعصابها
fwds,فودس
w3ea,وعيه
hwawy,هواوي
a7drto,احضرتو
y5s,يخس
y$ofni,يشوفني
btsawi,بتسوي
amer,امير
etjaweb,اتجاوب
m36oba,معطوبه
eslameya,اسلاميه
brk9',بركض
7ddo,حددو
mot,موت
2jeblek,اجيبلك
nkafeh,نكفيه
elamal,الامل
moa8ef,مواقف
m9rof,مصروف
y3tare9',يعترض
$hm,شهم
dmk,دمك
sandwish,سندويش
el7ajez,الحاجز
m3tbrkn,معتبركن
9brk,صبرك
b$bh,بشبه
8l6hm,قلطهم
glbha,قلبها
kunik,كونك
2sdy,أصدي
jm3na,جمعنا
lisatekm,لساتكم
7shesh,حشيش
layro7sh,لايروحش
jo3na,جوعنا
br2yak,برايك
mahsit,ما حسيت
8raeb,قرايب
d3ifeh,ضعيفه
mthlan,مثلا
y7fdna,يحفضنا
m6al8ah,مطلقه
belnar,بالنار
tsli,تسلي
elar6',الارض
eswarah,اسواره
6lbat,طلبات
9orha,صورها
lhana,الهنا
3dely,عديلي
amtshtsh,امتشتش
3'da,غدا
bt7azen,بتحزن
5betha,خبيثه
wansak,وانساك
a5dti,اخذتي
m3alek,معاليك
di3anak,ضيعناك
b3tra9',بعترض
denya,دنيا
nwri,نوري
wlad,ولد
7$a$na,حششنا
a5det,اخدت
bkon,بكون
a5o$ln,اخوشلن
weyake,وياكي
b3ml$,بعملش
3'salet,غسلت
yl3n,يلعن
ra7emto,رحمته
someha,سميها
bksbha,بكسبها
bmz7,بمزح
ethnen,اثنين
9'fteni,ضفتيني
mn3'shk,منغشك
em,ام
a93b,اصعب
mortbeta,مرتبطه
m6awel,مطول
bt5tafo,بتختفوا
salem,سالم
5l9na,خلصنا
3lshabab,علشباب
bdkish,بدكيش
nsafer,نسافر
5raba,خرابه
b3in,بعين
23'ar,اغار
wzaa,وزا
3mea,عميى
eltnse8,التنسيق
btl78$,بتلحقش
shraneh,سهرانه
27m,احم
ehde,اهدي
enshaala,انشاءالله
estafadna,استفدنا
btsm3,بتسمع
o5tah,اخته
b39'na,بعضنا
mwjoden,موجودين
d3watk,دعواتك
bedenyah,بدنيا
al2darah,الاداره
mo3dla,معدله
wtokl,وتوكل
dares,دارس
3ishritna,عشرتنا
y7sen,يحسن
winkom,وينكم
alwajeb,الجواب
8a9'i,قاضي
zayi,زيي
zeada,زياده
bt$3o,بتشعوا
bt89ro,بتقصرو
bt5zy,بتخزي
btdf3,بتدفع
m7ru2,محروء
bel3l3,بيلعلع
el7mdulah,الحمدلله
t5sari,تخسري
btath,بطاطا
malagat,مالقت
a$t3'l,اشتغل
qanon,قانون
mdageg,مدقق
elnele,النيلي
tkbri,تكبري
tark,تارك
7kma,حكمه
o5te,اختي
sarfis,سرفيس
wlk,ولك
3ydt,عيدت
6najer,طناجر
eltlk,ئلتلك
6b5toh,طبخته
meno,منه
6yop,طيوب
3omri,عمري
2bn,ابن
tholth,ثلث
jhanm,جهنم
7iwanh,حيوانه
nfsyeh,نفسيه
a5barkom,اخباركم
wa2t,وئت
lwni,لوني
snbool,سنبول
6b5tu,طبختو
3amil,عامل
3aleky,عليكي
trktha,تركتها
balmyeh,بالميه
wjk,وجك
far8ah,فارقه
3eyonek,عيونك
t7bene,تحبيني
nas,نااس
5jlteni,خجلتيني
aljdeda,الجديده
mosa5,موسخ
bte3rafni,بتعرفني
a3ml,اعمل
teqra2e,تقرئي
3'shet,غشيت
tdrbeha,تدربيها
drjet,درجة
btorfo9'e,بترفضي
salama,سلامه
elrdod,الردود
5serna,خسرنا
6aleb,طالب
btn7al,بتنحل
sa3ada,سعاده
la2inu,لأنه
2jnabeya,اجنبيه
e$i,اشي
2njaz,أنجاز
2zr6,ازرط
tntbeh,تنتبه
$e3r,شعر
2rja3,ارجع
adre,ادري
w95,وصخ
bznn,بزنن
nahna,نحنا
alllhoma,اللهم
m3fnh,معفنه
2somhoa,اسمها
8aleleh,قليله
taqaleed,تقاليد
rsmto,رسمته
batata,بطاطا
hayaty,حياتي
enjal6et,انجلطت
wela,ولا
t788le,تحققلي
aftr,افطر
thgel,ثقيل
bnk,بنك
5lene,خليني
chalb,كلب
w23,وئع
$ahnek,شاحنك
zo3be,زعبي
tlagi,تلاقي
o3'nya,اغنيه
5liny,خليني
7awlet,حاولت
althega,الثقه
badleh,بدله
bnrj3lo,بنرجعلو
mawa8fak,مواقفك
koborha,كبرها
e6om,ايطم
zet,زيت
ma3'reb,مغرب
msb7a,مسبحه
m39ben,معصبين
ta7shesh,تحشيش
btmz7i,بتمزحي
testahli,تستاهلي
l2db,الادب
b8o7,بقح
farhet,فرحة
menu,منه
elnja7,النجاح
mtleh,مطليه
ge9t,قصة
elo3'neh,الاغنيه
abdullah,عبدالله
a4anoh,اذانه
e7temal,احتمال
el7amduallah,الحمدلله
entabahet,انتبهت
lahe,اللهي
albent,البنت
bshbhne,بشبهني
aldonia,الدنيا
5w9h,خوصه
ahlna,اهلنا
6'arori,ظروري
murbyt,مربية
namy,نامي
lmet,لميت
el8arorah,القاروره
3o6lah,عطله
yshofoha,يشوفوها
tnsone,تنسوني
alftra,الفتره
3aby,عبي
t8i,طقي
bt8dri,بتقدري
alklam,الكلام
byt,بيت
e3mli,اعملي
derase,دراسه
ft7t,فتحت
3balha,عبالها
altekno,التكنو
2sha3a,اشاعه
7lalek,حلالك
6olek,طولك
elbenet,البنت
bdareshom,بدرسهم
bmo7adrt,بمحاضرة
6al3at,طلعات
bsabbo,بسبه
fe6'ol,فظول
by3ah,بيعه
milad,ميلاد
3lframah,عالفرامه
tyara,طياره
msmetoh,مسميته
efd7a,افضحه
3abeen,عبين
waen,وين
wbidahek,وبضحك
7abibk,حبيبك
mgadmen,مقدمين
aslmhom,اسلمهم
mne,مني
8lal,قلال
mafe,مافي
8oltlk,قولتلك
t2eel,تئيل
hilo,حلو
2brez,أبريز
bealmonasbat,بالمناسبات
mt3ts,متعتس
dahktni,ضحكتني
9warek,صورك
9leat,صليت
ka$,كاش
ygeth,يغث
ybalesh,يبلش
farhana,فرحانه
shekel,شكل
sam7to,سامحته
be9'a7ek,بضحك
6alb,طالب
3umrk,عمرك
snenek,سنينك
whyet,وحياة
nf8t,نفقت
6el3at,طلعت
sd8ne,صدقني
7sn,حسن
56a6beh,خطاطبه
bmayzak,بميزك
bde3,بديع
elhwa,الهواء
bt3rfe$,بتعرفش
tfola,طفوله
6ayr,طاير
eltarbiyeh,التربيه
ebda3,ابداع
6abi8,طابق
tosbe7e,تصبحي
tarekhm,تاركهم
shoyt,شوية
t3allamt,تعلمت
e9be3ha,اصبعها
arya7lk,اريحلك
lyeleh,ليله
wladh,ولاده
bahebkom,بحبكم
wsft,وصفة
3rfona,عرفونا
7drta,حضرته
o3'nyt,اغنيه
27md,احمد
bnkser,بنكسر
oskoto,اسكتو
at3arf,اتعرف
eltare8ah,الطريقه
berj3,برجع
9orah,صوره
bag3a,بقعه
3amayelha,عمايلها
afa3lo,افعله
$g6h,شقطه
6'let,ضليت
a8albkom,اقلبكم
bl2a5er,بالأخر
warde,وردي
jl6a,جلطه
el4nb,الذنب
amt7ank,امتحانك
btfhamo,بتفهمه
ahao$,اهاوش
azra2,ازرء
ba3rafak,بعرفك
mrakb,مركب
abrd,ابرد
5ala9to,خلصتوا
ento,انتو
df3,دفع
w3jbato,وعجبته
shatoora,شطوره
b7sabo,بحسابه
athabal,اتهبل
b$of,بشوف
matskar,ماتسكر
ymsk,يمسك
da2eman,دائما
b3omrek,بعمرك
n9'fi,نظفي
nasiha,نصيحه
zahagtoni,زهقتوني
3'eth2e,غذائي
blfz3a,بالفزعه
tbe3e,طبيعي
3lih,عليه
amaaneh,امانه
btwsal,بتوصل
jwati,جواتي
neal,نيال
btfed,بتفيد
7waleko,حواليكو
a5rha,اخرها
waled,وليد
t5eale,تخيلي
5alstn,خلصتن
brj3lk,برجعلك
jbele,جبيلي
yksr,يكسر
df3ah,دفعه
t3aln,تعالن
l8et,لقيت
elmutakhalfeh,المتخلفه
bjrb,بجرب
swalfo,سوالفه
sma3ti,سمعتي
l7ale,لحالي
homa,هما
ntfeg,نتفق
